,price,year,kms,fuel,city,tags,starting_emi,company,car_name,cc
427,835000.0,2018,12500,Petrol,Mumbai,No Tag,13866,Maruti Suzuki,Ciaz  ,1.4
428,521000.0,2015,59226,Petrol,Mumbai,No Tag,8652,Hyundai,Elite i20,1.2
429,2950000.0,2019,24541,Diesel,Mumbai,Home Test Drive,48989,Mercedes-Benz,GLA  ,
430,625000.0,2017,37000,Petrol,Mumbai,No Tag,,Honda,Jazz  ,
431,325000.0,2012,19500,Petrol,Mumbai,No Tag,,Volkswagen,Polo  ,1.6
432,4850000.0,2018,17000,Diesel,Mumbai,Home Test Drive,80542,Mercedes-Benz,E-Class  ,
433,595000.0,2018,27000,Petrol,Mumbai,Home Test Drive,9880,Tata,Tigor  ,
434,1475000.0,2021,11000,Petrol,Mumbai,Home Test Drive,24494,Hyundai,Creta  ,1.6
435,695000.0,2017,28500,Diesel,Mumbai,Home Test Drive,11541,Renault,Lodgy  ,
436,875000.0,2016,35000,Diesel,Mumbai,No Tag,14530,Chevrolet,Cruze  ,
437,3690000.0,2019,15000,Diesel,Mumbai,No Tag,61278,Volvo,XC40  ,
