,name,price,year,kms,fuel,city,homedrive,emi
1386,Hyundai Elite i20 Magna Executive 1.2,₹ 5.6 Lakh,2018,"28,565 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹9,299"
1387,Maruti Suzuki Alto K10 VXi [2014-2019],₹ 3.56 Lakh,2017,"27,413 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹5,911"
1388,Honda Brio VX MT,₹ 2.85 Lakh,2014,"81,971 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹4,732"
1389,Volkswagen Polo Highline Plus 1.0L TSI,₹ 8.9 Lakh,2020,"26,954 km",Petrol,Hyderabad,,"EMI starts at₹14,779"
1390,Maruti Suzuki Ciaz VXi+,₹ 6.01 Lakh,2016,"57,845 km",Petrol,Hyderabad,,"EMI starts at₹9,987"
1391,Toyota Yaris J MT,₹ 9.01 Lakh,2020,"2,738 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹14,960"
1392,Maruti Suzuki Alto LXi BS-III,₹ 1.88 Lakh,2011,"48,891 km",Petrol,Hyderabad,Home Test Drive,
1393,Hyundai Elite i20 Magna 1.2 [2016-2017],₹ 6.96 Lakh,2020,"61,264 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹11,558"
1394,Maruti Suzuki Baleno Delta 1.2,₹ 5.83 Lakh,2015,"55,138 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹9,681"
1395,Maruti Suzuki Wagon R 1.0 LXi CNG,₹ 2.68 Lakh,2012,"29,302 km",CNG,Hyderabad,Home Test Drive,
1396,Maruti Suzuki Dzire VXi,₹ 6.05 Lakh,2018,"74,227 km",Petrol,Hyderabad,Great Price,"EMI starts at₹10,047"
1397,Hyundai i20 Magna 1.2,₹ 2.77 Lakh,2012,"75,639 km",Petrol,Hyderabad,Home Test Drive,
1398,Hyundai Eon Era +,₹ 2.54 Lakh,2012,"51,796 km",Petrol,Hyderabad,Home Test Drive,
1399,Maruti Suzuki Wagon R 1.0 VXI,₹ 5.71 Lakh,2020,"21,959 km",Petrol,Hyderabad,Quality Report,"EMI starts at₹9,482"
1400,Maruti Suzuki Baleno Delta 1.2,₹ 4.89 Lakh,2015,"44,897 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹8,125"
1401,Maruti Suzuki Baleno Zeta 1.2,₹ 7.62 Lakh,2021,"5,895 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹12,654"
1402,Maruti Suzuki S-Cross Zeta 1.3,₹ 7.26 Lakh,2016,"80,732 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹12,056"
1403,Maruti Suzuki Alto K10 LXi,₹ 1.94 Lakh,2011,"19,821 km",Petrol,Hyderabad,Home Test Drive,
1404,Maruti Suzuki Alto K10 LXi,₹ 2.2 Lakh,2013,"28,052 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹3,653"
1405,Maruti Suzuki Wagon R 1.0 LXi,₹ 2.48 Lakh,2012,"49,001 km",Petrol,Hyderabad,Great Price,
1406,Maruti Suzuki Alto LXi BS-III,₹ 3.46 Lakh,2020,"14,674 km",Petrol,Hyderabad,,"EMI starts at₹5,745"
1407,Tata Altroz XZ Petrol,₹ 7.17 Lakh,2020,"7,221 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹11,911"
1408,Maruti Suzuki Celerio VXi AMT,₹ 3.39 Lakh,2014,"73,173 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹5,629"
1409,Honda City 1.5 S MT,₹ 3.41 Lakh,2010,"83,657 km",Petrol,Hyderabad,Home Test Drive,
1410,Maruti Suzuki Wagon R 1.0 LXi,₹ 2.9 Lakh,2013,"38,343 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹4,812"
1411,Maruti Suzuki Wagon R 1.0 VXi,₹ 2.61 Lakh,2011,"69,159 km",Petrol,Hyderabad,Home Test Drive,
1412,Hyundai i10 Era 1.1 iRDE2 [2010-2017],₹ 2.16 Lakh,2011,"33,235 km",Petrol,Hyderabad,Home Test Drive,
1413,Maruti Suzuki Alto K10 VXi,₹ 2.32 Lakh,2012,"50,199 km",Petrol,Hyderabad,Home Test Drive,
1414,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],₹ 3.46 Lakh,2013,"33,140 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹5,745"
1415,Maruti Suzuki Celerio VXi AMT,₹ 3.4 Lakh,2014,"41,635 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹5,639"
1416,Maruti Suzuki Vitara Brezza ZDi Plus,₹ 6.86 Lakh,2016,"63,355 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹11,397"
1417,Mahindra XUV500 W8,₹ 8.48 Lakh,2014,"91,679 km",Diesel,Hyderabad,Quality Report,"EMI starts at₹14,082"
1418,Maruti Suzuki Wagon R 1.0 LXi,₹ 2.78 Lakh,2011,"81,979 km",Petrol,Hyderabad,Quality Report,
1419,Renault Kwid RXT [2015-2019],₹ 2.9 Lakh,2016,"73,101 km",Petrol,Hyderabad,Great Price,"EMI starts at₹4,815"
1420,Honda WR-V VX MT Diesel,₹ 7.6 Lakh,2017,"55,502 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹12,626"
